shipment_id,origin_port_id,destination_port_id,carrier_id,departure_date,scheduled_arrival,actual_arrival,cost_usd,status,delay_days,is_on_time,transit_days,departure_month,departure_year,carrier_name,carrier_type,rating,carrier_country,origin_port_name,origin_region,origin_congestion,origin_congestion_level,dest_port_name,dest_region,dest_congestion,dest_congestion_level,origin_weather_severity,origin_wind_kmh,route
SHP00033,P009,P006,C005,2022-07-29,2022-08-13,2022-08-13,1747.13,Delivered,0.0,True,15.0,2022-07,2022,DHL Global,Air,4.7,Germany,New York / NJ,North America,0.8,High,Hamburg,Europe,0.62,Medium,0.0,22.8,New York / NJ → Hamburg
SHP00034,P006,P002,C001,2023-04-15,2023-05-14,2023-05-14,7354.66,Delivered,0.0,True,29.0,2023-04,2023,Maersk Line,Ocean,4.5,Denmark,Hamburg,Europe,0.62,Medium,Singapore,Asia Pacific,0.71,Medium,0.0,22.8,Hamburg → Singapore
SHP00035,P004,P010,C005,2022-05-16,2022-05-31,2022-05-31,3122.03,Delivered,0.0,True,15.0,2022-05,2022,DHL Global,Air,4.7,Germany,Los Angeles,North America,0.85,Critical,Colombo,South Asia,0.55,Low,1.0,8.5,Los Angeles → Colombo
SHP00036,P012,P005,C010,2024-04-06,2024-05-02,2024-05-06,5555.66,Delivered,4.0,False,30.0,2024-04,2024,COSCO Shipping,Ocean,3.6,China,Long Beach,North America,0.83,High,Dubai (Jebel Ali),Middle East,0.74,Medium,0.0,22.8,Long Beach → Dubai (Jebel Ali)
SHP00037,P002,P004,C005,2022-04-29,2022-05-14,2022-05-14,3027.68,Delivered,0.0,True,15.0,2022-04,2022,DHL Global,Air,4.7,Germany,Singapore,Asia Pacific,0.71,Medium,Los Angeles,North America,0.85,Critical,0.0,22.8,Singapore → Los Angeles
SHP00038,P011,P012,C005,2023-06-02,2023-06-23,2023-06-23,5049.86,Delivered,0.0,True,21.0,2023-06,2023,DHL Global,Air,4.7,Germany,Tanjung Pelepas,Asia Pacific,0.6,Medium,Long Beach,North America,0.83,High,0.0,22.8,Tanjung Pelepas → Long Beach
SHP00039,P011,P007,C005,2022-02-15,2022-02-25,2022-02-25,2467.99,Delivered,0.0,True,10.0,2022-02,2022,DHL Global,Air,4.7,Germany,Tanjung Pelepas,Asia Pacific,0.6,Medium,Busan,Asia Pacific,0.78,High,0.0,11.9,Tanjung Pelepas → Busan
SHP00040,P012,P007,C009,2022-01-10,2022-01-25,2022-01-26,4383.35,Delayed,1.0,False,16.0,2022-01,2022,Hapag-Lloyd,Ocean,4.0,Germany,Long Beach,North America,0.83,High,Busan,Asia Pacific,0.78,High,0.0,17.4,Long Beach → Busan
SHP00041,P009,P001,C006,2023-08-20,2023-09-11,2023-09-11,2630.33,Delivered,0.0,True,22.0,2023-08,2023,FedEx Freight,Air,4.6,USA,New York / NJ,North America,0.8,High,Shanghai,Asia Pacific,0.92,Critical,0.0,22.8,New York / NJ → Shanghai
SHP00042,P001,P007,C004,2023-11-30,2023-12-13,2023-12-13,3349.92,Delivered,0.0,True,13.0,2023-11,2023,Evergreen Marine,Ocean,3.8,Taiwan,Shanghai,Asia Pacific,0.92,Critical,Busan,Asia Pacific,0.78,High,0.0,22.8,Shanghai → Busan
SHP00043,P007,P011,C003,2022-08-31,2022-09-12,2022-09-12,3158.31,Delivered,0.0,True,12.0,2022-08,2022,CMA CGM,Ocean,4.1,France,Busan,Asia Pacific,0.78,High,Tanjung Pelepas,Asia Pacific,0.6,Medium,0.0,22.8,Busan → Tanjung Pelepas
SHP00044,P006,P008,C004,2022-10-01,2022-10-13,2022-10-13,1922.21,Delivered,0.0,True,12.0,2022-10,2022,Evergreen Marine,Ocean,3.8,Taiwan,Hamburg,Europe,0.62,Medium,Antwerp,Europe,0.65,Medium,1.0,26.0,Hamburg → Antwerp
SHP00045,P008,P004,C004,2024-04-16,2024-04-29,2024-04-29,3264.76,In Transit,0.0,True,13.0,2024-04,2024,Evergreen Marine,Ocean,3.8,Taiwan,Antwerp,Europe,0.65,Medium,Los Angeles,North America,0.85,Critical,0.0,22.8,Antwerp → Los Angeles
SHP00046,P005,P002,C005,2022-12-26,2023-01-08,2023-01-08,2155.52,Delivered,0.0,True,13.0,2022-12,2022,DHL Global,Air,4.7,Germany,Dubai (Jebel Ali),Middle East,0.74,Medium,Singapore,Asia Pacific,0.71,Medium,0.0,22.8,Dubai (Jebel Ali) → Singapore
SHP00047,P006,P001,C002,2024-06-17,2024-07-11,2024-07-11,6674.74,Delivered,0.0,True,24.0,2024-06,2024,MSC,Ocean,4.3,Switzerland,Hamburg,Europe,0.62,Medium,Shanghai,Asia Pacific,0.92,Critical,0.0,22.8,Hamburg → Shanghai
SHP00048,P006,P008,C010,2023-06-08,2023-06-19,2023-06-19,2866.47,Delivered,0.0,True,11.0,2023-06,2023,COSCO Shipping,Ocean,3.6,China,Hamburg,Europe,0.62,Medium,Antwerp,Europe,0.65,Medium,0.0,22.8,Hamburg → Antwerp
SHP00049,P012,P007,C001,2023-06-17,2023-07-09,2023-07-09,4685.0,Delivered,0.0,True,22.0,2023-06,2023,Maersk Line,Ocean,4.5,Denmark,Long Beach,North America,0.83,High,Busan,Asia Pacific,0.78,High,0.0,22.8,Long Beach → Busan
SHP00050,P011,P006,C010,2022-11-18,2022-12-18,2022-12-18,5330.09,Delivered,0.0,True,30.0,2022-11,2022,COSCO Shipping,Ocean,3.6,China,Tanjung Pelepas,Asia Pacific,0.6,Medium,Hamburg,Europe,0.62,Medium,0.0,28.1,Tanjung Pelepas → Hamburg
SHP00051,P005,P012,C007,2022-12-01,2022-12-25,2022-12-25,5161.02,Delivered,0.0,True,24.0,2022-12,2022,DB Schenker,Rail,4.2,Germany,Dubai (Jebel Ali),Middle East,0.74,Medium,Long Beach,North America,0.83,High,0.0,22.8,Dubai (Jebel Ali) → Long Beach
SHP00052,P012,P003,C010,2023-08-06,2023-08-18,2023-08-18,3681.53,Delivered,0.0,True,12.0,2023-08,2023,COSCO Shipping,Ocean,3.6,China,Long Beach,North America,0.83,High,Rotterdam,Europe,0.68,Medium,0.0,10.9,Long Beach → Rotterdam
SHP00053,P004,P008,C010,2023-09-14,2023-09-29,2023-09-29,2168.36,Delivered,0.0,True,15.0,2023-09,2023,COSCO Shipping,Ocean,3.6,China,Los Angeles,North America,0.85,Critical,Antwerp,Europe,0.65,Medium,0.0,19.7,Los Angeles → Antwerp
SHP00054,P012,P003,C002,2022-10-18,2022-11-01,2022-11-01,2303.56,Delivered,0.0,True,14.0,2022-10,2022,MSC,Ocean,4.3,Switzerland,Long Beach,North America,0.83,High,Rotterdam,Europe,0.68,Medium,0.0,22.8,Long Beach → Rotterdam
SHP00055,P004,P012,C005,2022-08-19,2022-09-01,2022-09-01,2727.56,Delivered,0.0,True,13.0,2022-08,2022,DHL Global,Air,4.7,Germany,Los Angeles,North America,0.85,Critical,Long Beach,North America,0.83,High,0.0,22.8,Los Angeles → Long Beach
SHP00056,P008,P007,C010,2022-07-19,2022-08-14,2022-08-14,4248.16,Delivered,0.0,True,26.0,2022-07,2022,COSCO Shipping,Ocean,3.6,China,Antwerp,Europe,0.65,Medium,Busan,Asia Pacific,0.78,High,0.0,22.8,Antwerp → Busan
SHP00057,P001,P003,C007,2022-08-13,2022-09-04,2022-09-04,5236.65,Delivered,0.0,True,22.0,2022-08,2022,DB Schenker,Rail,4.2,Germany,Shanghai,Asia Pacific,0.92,Critical,Rotterdam,Europe,0.68,Medium,0.0,22.8,Shanghai → Rotterdam
SHP00058,P002,P009,C003,2024-03-31,2024-04-21,2024-04-21,4811.19,Delivered,0.0,True,21.0,2024-03,2024,CMA CGM,Ocean,4.1,France,Singapore,Asia Pacific,0.71,Medium,New York / NJ,North America,0.8,High,0.0,22.8,Singapore → New York / NJ
SHP00059,P008,P011,C009,2023-03-13,2023-04-10,2023-04-10,4559.95,Delivered,0.0,True,28.0,2023-03,2023,Hapag-Lloyd,Ocean,4.0,Germany,Antwerp,Europe,0.65,Medium,Tanjung Pelepas,Asia Pacific,0.6,Medium,0.0,22.8,Antwerp → Tanjung Pelepas
SHP00060,P011,P005,C009,2023-05-12,2023-05-25,2023-05-25,1591.95,Delivered,0.0,True,13.0,2023-05,2023,Hapag-Lloyd,Ocean,4.0,Germany,Tanjung Pelepas,Asia Pacific,0.6,Medium,Dubai (Jebel Ali),Middle East,0.74,Medium,0.0,22.8,Tanjung Pelepas → Dubai (Jebel Ali)
SHP00061,P004,P006,C006,2022-11-24,2022-12-08,2022-12-08,1974.52,Delivered,0.0,True,14.0,2022-11,2022,FedEx Freight,Air,4.6,USA,Los Angeles,North America,0.85,Critical,Hamburg,Europe,0.62,Medium,0.0,11.7,Los Angeles → Hamburg
SHP00062,P007,P008,C006,2023-07-10,2023-08-06,2023-08-06,4739.97,Delivered,0.0,True,27.0,2023-07,2023,FedEx Freight,Air,4.6,USA,Busan,Asia Pacific,0.78,High,Antwerp,Europe,0.65,Medium,0.0,26.7,Busan → Antwerp
SHP00063,P010,P001,C010,2023-01-25,2023-02-02,2023-02-03,1176.8,Delayed,1.0,False,9.0,2023-01,2023,COSCO Shipping,Ocean,3.6,China,Colombo,South Asia,0.55,Low,Shanghai,Asia Pacific,0.92,Critical,0.0,22.8,Colombo → Shanghai
SHP00064,P007,P010,C009,2024-03-30,2024-04-08,2024-04-08,400.0,Delivered,0.0,True,9.0,2024-03,2024,Hapag-Lloyd,Ocean,4.0,Germany,Busan,Asia Pacific,0.78,High,Colombo,South Asia,0.55,Low,0.0,17.0,Busan → Colombo
SHP00065,P008,P001,C007,2022-12-11,2023-01-10,2023-01-10,5282.64,Delivered,0.0,True,30.0,2022-12,2022,DB Schenker,Rail,4.2,Germany,Antwerp,Europe,0.65,Medium,Shanghai,Asia Pacific,0.92,Critical,0.0,22.8,Antwerp → Shanghai
SHP00066,P010,P009,C001,2023-02-08,2023-02-27,2023-02-27,2468.14,Delivered,0.0,True,19.0,2023-02,2023,Maersk Line,Ocean,4.5,Denmark,Colombo,South Asia,0.55,Low,New York / NJ,North America,0.8,High,0.0,22.8,Colombo → New York / NJ
SHP00067,P003,P009,C003,2022-02-21,2022-03-05,2022-03-05,1804.04,Delivered,0.0,True,12.0,2022-02,2022,CMA CGM,Ocean,4.1,France,Rotterdam,Europe,0.68,Medium,New York / NJ,North America,0.8,High,2.0,68.1,Rotterdam → New York / NJ
SHP00068,P007,P005,C002,2023-04-27,2023-05-05,2023-05-05,2343.73,Delivered,0.0,True,8.0,2023-04,2023,MSC,Ocean,4.3,Switzerland,Busan,Asia Pacific,0.78,High,Dubai (Jebel Ali),Middle East,0.74,Medium,0.0,22.8,Busan → Dubai (Jebel Ali)
SHP00069,P004,P012,C002,2024-03-10,2024-03-30,2024-03-31,1977.74,Delayed,1.0,False,21.0,2024-03,2024,MSC,Ocean,4.3,Switzerland,Los Angeles,North America,0.85,Critical,Long Beach,North America,0.83,High,0.0,22.8,Los Angeles → Long Beach
SHP00070,P004,P003,C008,2023-11-17,2023-11-27,2023-11-27,3212.56,Delivered,0.0,True,10.0,2023-11,2023,Kuehne+Nagel,Multi,4.4,Switzerland,Los Angeles,North America,0.85,Critical,Rotterdam,Europe,0.68,Medium,0.0,22.8,Los Angeles → Rotterdam
SHP00071,P006,P003,C010,2023-09-14,2023-09-25,2023-09-25,1799.51,Delivered,0.0,True,11.0,2023-09,2023,COSCO Shipping,Ocean,3.6,China,Hamburg,Europe,0.62,Medium,Rotterdam,Europe,0.68,Medium,0.0,34.3,Hamburg → Rotterdam
SHP00072,P010,P012,C007,2023-02-11,2023-02-24,2023-03-04,3531.46,Delayed,8.0,False,21.0,2023-02,2023,DB Schenker,Rail,4.2,Germany,Colombo,South Asia,0.55,Low,Long Beach,North America,0.83,High,0.0,22.8,Colombo → Long Beach
SHP00073,P002,P006,C010,2024-04-04,2024-04-25,2024-04-25,5822.46,Delivered,0.0,True,21.0,2024-04,2024,COSCO Shipping,Ocean,3.6,China,Singapore,Asia Pacific,0.71,Medium,Hamburg,Europe,0.62,Medium,0.0,22.8,Singapore → Hamburg
SHP00074,P011,P006,C001,2024-05-19,2024-06-14,2024-06-14,4364.55,Delivered,0.0,True,26.0,2024-05,2024,Maersk Line,Ocean,4.5,Denmark,Tanjung Pelepas,Asia Pacific,0.6,Medium,Hamburg,Europe,0.62,Medium,0.0,22.8,Tanjung Pelepas → Hamburg
SHP00075,P008,P003,C007,2022-06-30,2022-07-18,2022-07-18,2522.33,Delivered,0.0,True,18.0,2022-06,2022,DB Schenker,Rail,4.2,Germany,Antwerp,Europe,0.65,Medium,Rotterdam,Europe,0.68,Medium,0.0,19.6,Antwerp → Rotterdam
SHP00076,P007,P011,C005,2022-11-27,2022-12-10,2022-12-10,1525.35,Delivered,0.0,True,13.0,2022-11,2022,DHL Global,Air,4.7,Germany,Busan,Asia Pacific,0.78,High,Tanjung Pelepas,Asia Pacific,0.6,Medium,0.0,5.9,Busan → Tanjung Pelepas
SHP00077,P004,P009,C010,2023-09-17,2023-10-07,2023-10-07,2042.63,Delivered,0.0,True,20.0,2023-09,2023,COSCO Shipping,Ocean,3.6,China,Los Angeles,North America,0.85,Critical,New York / NJ,North America,0.8,High,0.0,24.3,Los Angeles → New York / NJ
SHP00078,P005,P007,C005,2024-06-20,2024-07-02,2024-07-02,1662.21,In Transit,0.0,True,12.0,2024-06,2024,DHL Global,Air,4.7,Germany,Dubai (Jebel Ali),Middle East,0.74,Medium,Busan,Asia Pacific,0.78,High,0.0,22.8,Dubai (Jebel Ali) → Busan
SHP00079,P004,P002,C004,2024-01-08,2024-01-28,2024-01-28,3839.49,Delivered,0.0,True,20.0,2024-01,2024,Evergreen Marine,Ocean,3.8,Taiwan,Los Angeles,North America,0.85,Critical,Singapore,Asia Pacific,0.71,Medium,0.0,22.8,Los Angeles → Singapore
SHP00080,P001,P003,C005,2022-08-15,2022-09-10,2022-09-10,4214.39,Delivered,0.0,True,26.0,2022-08,2022,DHL Global,Air,4.7,Germany,Shanghai,Asia Pacific,0.92,Critical,Rotterdam,Europe,0.68,Medium,0.0,22.8,Shanghai → Rotterdam
SHP00081,P008,P010,C009,2022-12-19,2023-01-12,2023-01-12,4483.83,Delivered,0.0,True,24.0,2022-12,2022,Hapag-Lloyd,Ocean,4.0,Germany,Antwerp,Europe,0.65,Medium,Colombo,South Asia,0.55,Low,0.0,22.8,Antwerp → Colombo
SHP00082,P004,P002,C004,2022-11-20,2022-12-05,2022-12-05,4930.06,Delivered,0.0,True,15.0,2022-11,2022,Evergreen Marine,Ocean,3.8,Taiwan,Los Angeles,North America,0.85,Critical,Singapore,Asia Pacific,0.71,Medium,0.0,22.8,Los Angeles → Singapore
SHP00083,P004,P005,C008,2022-10-11,2022-11-06,2022-11-06,6330.02,Delivered,0.0,True,26.0,2022-10,2022,Kuehne+Nagel,Multi,4.4,Switzerland,Los Angeles,North America,0.85,Critical,Dubai (Jebel Ali),Middle East,0.74,Medium,0.0,22.8,Los Angeles → Dubai (Jebel Ali)
SHP00084,P005,P001,C009,2022-05-10,2022-05-20,2022-05-24,1197.22,Delayed,4.0,False,14.0,2022-05,2022,Hapag-Lloyd,Ocean,4.0,Germany,Dubai (Jebel Ali),Middle East,0.74,Medium,Shanghai,Asia Pacific,0.92,Critical,0.0,6.0,Dubai (Jebel Ali) → Shanghai
SHP00085,P003,P012,C008,2022-04-16,2022-05-02,2022-05-07,1904.02,Delayed,5.0,False,21.0,2022-04,2022,Kuehne+Nagel,Multi,4.4,Switzerland,Rotterdam,Europe,0.68,Medium,Long Beach,North America,0.83,High,2.0,86.9,Rotterdam → Long Beach
SHP00086,P005,P009,C002,2024-04-21,2024-05-10,2024-05-10,3706.85,In Transit,0.0,True,19.0,2024-04,2024,MSC,Ocean,4.3,Switzerland,Dubai (Jebel Ali),Middle East,0.74,Medium,New York / NJ,North America,0.8,High,0.0,22.8,Dubai (Jebel Ali) → New York / NJ
SHP00087,P010,P005,C002,2022-09-12,2022-09-23,2022-09-23,1963.87,Delivered,0.0,True,11.0,2022-09,2022,MSC,Ocean,4.3,Switzerland,Colombo,South Asia,0.55,Low,Dubai (Jebel Ali),Middle East,0.74,Medium,0.0,22.8,Colombo → Dubai (Jebel Ali)
SHP00088,P007,P009,C008,2022-11-01,2022-11-21,2022-11-21,3612.12,Delivered,0.0,True,20.0,2022-11,2022,Kuehne+Nagel,Multi,4.4,Switzerland,Busan,Asia Pacific,0.78,High,New York / NJ,North America,0.8,High,0.0,22.8,Busan → New York / NJ
SHP00089,P012,P002,C004,2023-10-03,2023-10-20,2023-10-20,2783.75,Delivered,0.0,True,17.0,2023-10,2023,Evergreen Marine,Ocean,3.8,Taiwan,Long Beach,North America,0.83,High,Singapore,Asia Pacific,0.71,Medium,0.0,22.8,Long Beach → Singapore
SHP00090,P007,P009,C010,2023-04-27,2023-05-15,2023-05-16,3741.7,Delayed,1.0,False,19.0,2023-04,2023,COSCO Shipping,Ocean,3.6,China,Busan,Asia Pacific,0.78,High,New York / NJ,North America,0.8,High,0.0,22.8,Busan → New York / NJ
SHP00091,P008,P002,C004,2022-09-28,2022-10-28,2022-10-28,6070.86,Delivered,0.0,True,30.0,2022-09,2022,Evergreen Marine,Ocean,3.8,Taiwan,Antwerp,Europe,0.65,Medium,Singapore,Asia Pacific,0.71,Medium,0.0,33.4,Antwerp → Singapore
SHP00092,P003,P006,C003,2022-03-15,2022-03-25,2022-03-25,2571.47,Delivered,0.0,True,10.0,2022-03,2022,CMA CGM,Ocean,4.1,France,Rotterdam,Europe,0.68,Medium,Hamburg,Europe,0.62,Medium,0.0,22.8,Rotterdam → Hamburg
SHP00093,P010,P005,C008,2022-05-08,2022-05-25,2022-05-25,3531.07,Delivered,0.0,True,17.0,2022-05,2022,Kuehne+Nagel,Multi,4.4,Switzerland,Colombo,South Asia,0.55,Low,Dubai (Jebel Ali),Middle East,0.74,Medium,0.0,22.8,Colombo → Dubai (Jebel Ali)
